time,x,y,z,rssi
20:14:52:790,-10.17412,5.20636,0.4052024
20:14:53:297,-10.15653,5.561322,0.394437
20:14:53:811,-10.15655,5.849498,0.3980037
20:14:54:314,-10.18646,6.130639,0.3943437
20:14:54:795,-10.19346,6.394313,0.3680613
20:14:55:288,-10.18994,6.623036,0.3619103
20:14:55:792,-10.19032,6.885046,0.3525916
20:14:56:293,-10.16311,7.136875,0.3397002
20:14:56:793,-10.11038,7.388237,0.3218474
20:14:57:293,-10.09863,7.583303,0.3129901
20:14:57:794,-10.18571,7.69041,0.3089571
20:14:58:296,-10.31716,7.708155,0.33852
20:14:58:784,-10.50117,7.719141,0.3361141
20:14:59:287,-10.72134,7.759689,0.3360034
20:14:59:791,-11.03016,7.78375,0.3506524
20:15:0:288,-11.30583,7.802601,0.3483895
20:15:0:790,-11.60716,7.844782,0.374941
20:15:1:294,-11.90194,7.85359,0.3863499
20:15:1:795,-12.19658,7.859194,0.4147352
20:15:2:298,-12.51506,7.882149,0.4413626
20:15:2:798,-12.83797,7.884988,0.4473929
20:15:3:284,-13.18036,7.905039,0.4752484
20:15:3:786,-13.52913,7.926022,0.4989403
20:15:4:294,-13.89973,7.929598,0.5069736
20:15:4:792,-14.15789,7.940171,0.5332497
20:15:5:292,-14.40399,7.962321,0.5367747
20:15:5:794,-14.60335,7.941922,0.5320537
20:15:6:296,-14.69361,7.854508,0.5270026
20:15:6:800,-14.73428,7.742279,0.5403738
20:15:7:286,-14.73074,7.61127,0.5562459
20:15:7:788,-14.74414,7.447536,0.5500419
20:15:8:290,-14.79142,7.181533,0.5473255
20:15:8:790,-14.83877,6.886844,0.5577147
20:15:9:290,-14.91174,6.590241,0.5809073
20:15:9:796,-14.93293,6.2901,0.5828996
20:15:10:290,-14.97558,6.003032,0.5878454
20:15:10:808,-14.99626,5.70822,0.5764133
20:15:11:287,-14.9778,5.529408,0.5576333
20:15:11:791,-14.85958,5.43742,0.5548987
20:15:12:283,-14.74264,5.37062,0.5810553
20:15:12:792,-14.60972,5.364421,0.5939311
20:15:13:287,-14.43527,5.335306,0.5729904
20:15:13:798,-14.1411,5.319032,0.5740208
20:15:14:298,-13.86763,5.282117,0.5365109
20:15:14:803,-13.60597,5.222501,0.5262117
20:15:15:279,-13.32096,5.217373,0.5007622
20:15:15:785,-13.02531,5.206276,0.4547254
20:15:16:280,-12.688,5.225048,0.4508833
20:15:16:791,-12.37027,5.241201,0.4348907
20:15:17:292,-12.04785,5.242377,0.3806081
20:15:17:796,-11.72145,5.244756,0.3632468
20:15:18:293,-11.42459,5.250744,0.3391835
20:15:18:798,-11.12148,5.232373,0.2938526
20:15:19:277,-10.81249,5.241438,0.263095
20:15:19:787,-10.55478,5.229344,0.2293372
20:15:20:287,-10.34864,5.170137,0.1948544
20:15:20:790,-10.23121,5.12279,0.1745978
20:15:21:285,-10.20148,5.037605,0.1918916
20:15:21:797,-10.19568,4.934452,0.2061539
20:15:22:299,-10.21827,4.738211,0.2354145
20:15:22:798,-10.21819,4.471757,0.2377573
20:15:23:283,-10.23247,4.20254,0.2192209
20:15:23:784,-10.25043,3.923457,0.2261652
20:15:24:279,-10.22569,3.704136,0.2223953
20:15:24:793,-10.23142,3.571437,0.2457921
20:15:25:292,-10.23434,3.509227,0.2525957
